Incident Number,Incident Date,Time Num,Street,Alt Street,City,County,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,fatal,EMSTransport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,pedestrian,bicycle,drug,etoh,Latitude,Longitude,Location WKT,Location,Light Condition,year,month,day,hour,day_of_week
18-093780,2018-09-29 21:20:00,21.5,1800 - 1899 Verona Dr,,Chattanooga,Hamilton,7100 Igou Gap,,5,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.028365,-85.162189,POINT (-85.162189 35.028365),"(35.028365, -85.162189)",0,2018,9,29,21,5
18-095068,2018-10-03 13:57:00,14.0,2000 Milne St,,Chattanooga,Hamilton,Dodson Ave,,4,0,1,0,1,0,25.0,1,0,1,0,0.0,0.0,35.04666,-85.263296,POINT (-85.263296 35.04666),"(35.046660, -85.263296)",4,2018,10,3,13,2
18-098546,2018-10-13 08:18:00,8.5,2700 Broad St,,Chattanooga,Hamilton,W 27th St,,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.025278,-85.317391,POINT (-85.317391 35.025278),"(35.025278, -85.317391)",4,2018,10,13,8,5
18-102370,2018-10-23 23:30:00,23.5,4800-4849 Hixson Pike,,Chattanooga,Hamilton,Williams St,,4,0,1,0,1,0,40.0,1,0,1,0,0.0,0.0,35.125416,-85.247475,POINT (-85.247475 35.125416),"(35.125416, -85.247475)",1,2018,10,23,23,1
18-113881,2018-11-26 19:27:00,19.5,7100 Shallowford Rd,,Chattanooga,Hamilton,Shallowford Village Dr,,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.043473,-85.158527,POINT (-85.158527 35.043473),"(35.043473, -85.158527)",0,2018,11,26,19,0
18-116929,2018-12-05 14:56:00,15.0,1413 Bailey Ave,,Chattanooga,Hamilton,S Highland Park Ave,,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.035704,-85.282778,POINT (-85.282778 35.035704),"(35.035704, -85.282778)",4,2018,12,5,14,2
18-118348,2018-12-09 18:34:00,18.5,5704  Highway 153,SR-153,Chattanooga,Hamilton,Carmack Rd,,1,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,35.152798,-85.249638,POINT (-85.249638 35.152798),"(35.152798, -85.249638)",1,2018,12,9,18,6
18-121505,2018-12-18 14:56:00,15.0,2400 Wilcox Blvd,,Chattanooga,Hamilton,Wheeler Ave,,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.052089,-85.257494,POINT (-85.257494 35.052089),"(35.052089, -85.257494)",4,2018,12,18,14,1
19-002288,2019-01-07 10:48:00,11.0,3440 Wilcox Blvd,,Chattanooga,Hamilton,Tunnel Blvd,,0,0,0,1,0,0,15.0,1,0,1,0,1.0,0.0,35.046965,-85.238216,POINT (-85.238216 35.046965),"(35.046965, -85.238216)",4,2019,1,7,10,0
19-002819,2019-01-08 18:45:00,19.0,2500 E 5th St,,Chattanooga,Hamilton,Kilmer St,,5,0,0,0,1,0,25.0,2,0,1,0,0.0,0.0,35.035507,-85.263648,POINT (-85.263648 35.035507),"(35.035507, -85.263648)",0,2019,1,8,18,1
